fixed_scale;model;bayes_factor
0,1;Model 3;1,43
0,2;Model 3;1,89
0,3;Model 3;2,86
0,4;Model 3;4,04
0,5;Model 3;5,5
0,6;Model 3;7,23
0,7;Model 3;9,24
0,8;Model 3;11,55
0,9;Model 3;14,16
1;Model 3;17,08
1,1;Model 3;20,3
1,2;Model 3;23,83
1,3;Model 3;27,66
1,4;Model 3;31,8
1,5;Model 3;36,25
1,6;Model 3;41
1,7;Model 3;46,06
1,8;Model 3;51,42
1,9;Model 3;57,09
2;Model 3;63,05
0,1;Model 2;1
0,2;Model 2;1,05
0,3;Model 2;1,24
0,4;Model 2;1,43
0,5;Model 2;1,64
0,6;Model 2;1,85
0,7;Model 2;2,07
0,8;Model 2;2,3
0,9;Model 2;2,53
1;Model 2;2,77
1,1;Model 2;3,01
1,2;Model 2;3,26
1,3;Model 2;3,5
1,4;Model 2;3,75
1,5;Model 2;4
1,6;Model 2;4,25
1,7;Model 2;4,51
1,8;Model 2;4,76
1,9;Model 2;5,01
2;Model 2;5,26